date_of_birth,gender,marital_status,religion,nationality,cnic,father_name,father_occupation,semester,address
2000-01-01,male,single,Islam,Pakistani,123451234512345,Muhammad Khan,Engineer,1,123 Street Lahore
1999-02-02,female,married,Islam,Pakistani,234562345623456,Ahmed Ali,Doctor,2,456 Street Karachi
1998-03-03,male,other,Islam,Pakistani,345673456734567,Abdul Ahmed,Teacher,3,789 Street Islamabad
1997-04-04,female,single,Islam,Pakistani,456784567845678,Asad Khan,Accountant,4,012 Street Lahore
1996-05-05,male,married,Islam,Pakistani,567895678956789,Kamran Hassan,Professor,5,345 Street Karachi
1995-06-06,female,other,Islam,Pakistani,678906789067890,Imran Ahmed,Artist,6,678 Street Islamabad
1994-07-07,male,single,Islam,Pakistani,789017890178901,Farhan Ali,Engineer,7,901 Street Lahore
1993-08-08,female,married,Islam,Pakistani,890128901289012,Naveed Khan,Doctor,8,234 Street Karachi
1992-09-09,male,other,Islam,Pakistani,901239012390123,Tahir Ahmed,Teacher,1,567 Street Islamabad
1991-10-10,female,single,Islam,Pakistani,012340123401234,Usama Ali,Accountant,2,890 Street Lahore
1990-11-11,male,married,Islam,Pakistani,123451234512345,Waqar Khan,Professor,3,9012 Street Karachi
1989-12-12,female,other,Islam,Pakistani,234562345623456,Zubair Ahmed,Artist,4,3456 Street Islamabad
1988-01-13,male,single,Islam,Pakistani,345673456734567,Ahmed Ali,Engineer,5,6789 Street Lahore
1987-02-14,female,married,Islam,Pakistani,456784567845678,Bilal Khan,Doctor,6,0123 Street Karachi
1986-03-15,male,other,Islam,Pakistani,567895678956789,Faisal Ahmed,Teacher,7,2345 Street Islamabad
1985-04-16,female,single,Islam,Pakistani,678906789067890,Ghulam Ali,Accountant,8,5678 Street Lahore
1984-05-17,male,married,Islam,Pakistani,789017890178901,Hassan Khan,Professor,1,9012 Street Karachi
1983-06-18,female,other,Islam,Pakistani,890128901289012,Imran Ahmed,Artist,2,3456 Street Islamabad
1982-07-19,male,single,Islam,Pakistani,901239012390123,Javed Ali,Engineer,3,7890 Street Lahore
1981-08-20,female,married,Islam,Pakistani,012340123401234,Khalid Khan,Doctor,4,1234 Street Karachi
1980-09-21,male,other,Islam,Pakistani,123451234512345,Mohammad Hassan,Teacher,5,5678 Street Islamabad
1979-10-22,female,single,Islam,Pakistani,234562345623456,Obaid Ali,Accountant,6,9012 Street Lahore
1978-11-23,male,married,Islam,Pakistani,345673456734567,Shahid Khan,Professor,7,3456 Street Karachi
1977-12-24,female,other,Islam,Pakistani,456784567845678,Waheed Ahmed,Artist,8,7890 Street Islamabad
1976-01-25,male,single,Islam,Pakistani,567895678956789,Yasir Ali,Engineer,1,1234 Street Lahore
1975-02-26,female,married,Islam,Pakistani,678906789067890,Zubair Khan,Doctor,2,5678 Street Karachi
1974-03-27,male,other,Islam,Pakistani,789017890178901,Asad Ahmed,Teacher,3,9012 Street Islamabad
1973-04-28,female,single,Islam,Pakistani,890128901289012,Bilal Ali,Accountant,4,2345 Street Lahore
1972-05-29,male,married,Islam,Pakistani,901239012390123,Fahad Khan,Professor,5,5678 Street Karachi
1971-06-30,female,other,Islam,Pakistani,012340123401234,Faisal Ahmed,Artist,6,9012 Street Lahore
1970-07-01,male,single,Islam,Pakistani,123451234512345,Ghulam Ali,Engineer,7,3456 Street Islamabad
1969-08-02,female,married,Islam,Pakistani,234562345623456,Haris Ali,Doctor,8,7890 Street Karachi
1968-09-03,male,other,Islam,Pakistani,345673456734567,Imran Khan,Teacher,1,1234 Street Lahore
1967-10-04,female,single,Islam,Pakistani,456784567845678,Javed Ahmed,Accountant,2,5678 Street Karachi
1966-11-05,male,married,Islam,Pakistani,567895678956789,Kamran Ali,Professor,3,9012 Street Islamabad
