date_of_birth,gender,marital_status,religion,nationality,cnic,office_number,address
1971-02-28,Male,Single,Islam,Pakistani,6749881709373,8916,123 Street Lahore
1961-09-08,Female,Married,Islam,Pakistani,3311539610926,0898,456 Street Karachi
1961-03-03,Male,Other,Islam,Pakistani,2948216379198,5009,789 Street Islamabad
1969-06-21,Female,Single,Islam,Pakistani,9674428522061,9409,012 Street Lahore
1988-10-05,Male,Married,Islam,Pakistani,8700217446003,1835,345 Street Karachi
1965-11-15,Female,Other,Islam,Pakistani,6095239928795,0395,678 Street Islamabad
1965-09-22,Male,Single,Islam,Pakistani,9450101902083,0769,901 Street Lahore
1984-04-09,Female,Married,Islam,Pakistani,7882147426643,2123,234 Street Karachi
1989-05-06,Male,Other,Islam,Pakistani,7536169168765,1240,567 Street Islamabad
1984-05-01,Female,Single,Islam,Pakistani,3936823014549,5180,890 Street Lahore
1968-03-25,Male,Married,Islam,Pakistani,5907521747569,6932,9012 Street Karachi
1984-06-18,Female,Other,Islam,Pakistani,7757012753035,5042,3456 Street Islamabad
1966-04-06,Male,Single,Islam,Pakistani,1462806323147,5109,6789 Street Lahore
1961-04-06,Female,Married,Islam,Pakistani,4178453420025,4365,0123 Street Karachi
1967-11-24,Male,Other,Islam,Pakistani,5758447889317,9423,2345 Street Islamabad
1983-10-14,Female,Single,Islam,Pakistani,9331712007694,8932,5678 Street Lahore
1983-11-28,Male,Married,Islam,Pakistani,4031569316537,1376,9012 Street Karachi
1966-08-25,Female,Other,Islam,Pakistani,8509422374789,8279,3456 Street Islamabad
1968-09-27,Male,Single,Islam,Pakistani,7071589229183,6172,7890 Street Lahore
1969-07-01,Female,Married,Islam,Pakistani,1473130909738,2147,1234 Street Karachi
1985-02-04,Male,Other,Islam,Pakistani,8303455405357,7684,5678 Street Islamabad
1987-05-07,Female,Single,Islam,Pakistani,2584232503061,9378,9012 Street Lahore
1985-12-31,Male,Married,Islam,Pakistani,1252616654831,6531,3456 Street Karachi
1974-12-23,Female,Other,Islam,Pakistani,3616186502469,0418,7890 Street Islamabad
1961-10-17,Male,Single,Islam,Pakistani,6319873124216,3320,1234 Street Lahore
1971-01-27,Female,Married,Islam,Pakistani,2799149522449,1432,5678 Street Karachi
