date_of_birth,gender,marital_status,religion,nationality,cnic,father_name,father_occupation,semester,address
1998-04-06,Male,Single,Islam,Pakistani,3585775541865,Muhammad Khan,Engineer,1,123 Street Lahore
1994-08-08,Female,Married,Islam,Pakistani,8064555889791,Ahmed Ali,Doctor,2,456 Street Karachi
1994-04-16,Male,Other,Islam,Pakistani,7691683197457,Abdul Ahmed,Teacher,3,789 Street Islamabad
1995-12-04,Female,Single,Islam,Pakistani,1734204549297,Asad Khan,Accountant,4,012 Street Lahore
1994-12-28,Male,Married,Islam,Pakistani,8381156739551,Kamran Hassan,Professor,5,345 Street Karachi
1997-01-30,Female,Other,Islam,Pakistani,5707421694200,Imran Ahmed,Artist,6,678 Street Islamabad
1998-07-05,Male,Single,Islam,Pakistani,2240874793726,Farhan Ali,Engineer,7,901 Street Lahore
1994-08-06,Female,Married,Islam,Pakistani,8713780909095,Naveed Khan,Doctor,8,234 Street Karachi
1995-10-03,Male,Other,Islam,Pakistani,1673913564022,Tahir Ahmed,Teacher,1,567 Street Islamabad
1996-07-31,Female,Single,Islam,Pakistani,3477252541965,Usama Ali,Accountant,2,890 Street Lahore
2003-07-18,Male,Married,Islam,Pakistani,0892591112175,Waqar Khan,Professor,3,9012 Street Karachi
2004-03-09,Female,Other,Islam,Pakistani,7621742575635,Zubair Ahmed,Artist,4,3456 Street Islamabad
2004-06-08,Male,Single,Islam,Pakistani,1547887576758,Ahmed Ali,Engineer,5,6789 Street Lahore
2002-07-15,Female,Married,Islam,Pakistani,3728889217073,Bilal Khan,Doctor,6,0123 Street Karachi
1999-05-08,Male,Other,Islam,Pakistani,0114092821585,Faisal Ahmed,Teacher,7,2345 Street Islamabad
2003-07-28,Female,Single,Islam,Pakistani,0542872958854,Ghulam Ali,Accountant,8,5678 Street Lahore
1995-02-03,Male,Married,Islam,Pakistani,8902799135276,Hassan Khan,Professor,1,9012 Street Karachi
2000-06-06,Female,Other,Islam,Pakistani,5947822816680,Imran Ahmed,Artist,2,3456 Street Islamabad
1999-01-05,Male,Single,Islam,Pakistani,4774039230493,Javed Ali,Engineer,3,7890 Street Lahore
2000-06-26,Female,Married,Islam,Pakistani,0796979742764,Khalid Khan,Doctor,4,1234 Street Karachi
2002-04-12,Male,Other,Islam,Pakistani,5659532516197,Mohammad Hassan,Teacher,5,5678 Street Islamabad
2000-10-10,Female,Single,Islam,Pakistani,7603212985434,Obaid Ali,Accountant,6,9012 Street Lahore
1997-04-15,Male,Married,Islam,Pakistani,2635543617488,Shahid Khan,Professor,7,3456 Street Karachi
2002-07-14,Female,Other,Islam,Pakistani,4489195863568,Waheed Ahmed,Artist,8,7890 Street Islamabad
2003-05-03,Male,Single,Islam,Pakistani,6255578812515,Yasir Ali,Engineer,1,1234 Street Lahore
1996-01-13,Female,Married,Islam,Pakistani,1444244798777,Zubair Khan,Doctor,2,5678 Street Karachi
1995-11-16,Male,Other,Islam,Pakistani,2475754753062,Asad Ahmed,Teacher,3,9012 Street Islamabad
2002-03-03,Female,Single,Islam,Pakistani,9153489355717,Bilal Ali,Accountant,4,2345 Street Lahore
2002-12-05,Male,Married,Islam,Pakistani,7000286548909,Fahad Khan,Professor,5,5678 Street Karachi
2003-09-19,Female,Other,Islam,Pakistani,3552840807562,Faisal Ahmed,Artist,6,9012 Street Lahore
1997-05-18,Male,Single,Islam,Pakistani,4036224433283,Ghulam Ali,Engineer,7,3456 Street Islamabad
2002-04-17,Female,Married,Islam,Pakistani,6265593199665,Haris Ali,Doctor,8,7890 Street Karachi
2000-06-12,Male,Other,Islam,Pakistani,8122552125421,Imran Khan,Teacher,1,1234 Street Lahore
2004-06-20,Female,Single,Islam,Pakistani,6670928160243,Javed Ahmed,Accountant,2,5678 Street Karachi
1999-04-13,Male,Married,Islam,Pakistani,9725199635577,Kamran Ali,Professor,3,9012 Street Islamabad
2004-03-26,Female,Other,Islam,Pakistani,3133093847175,Khalid Ahmed,Artist,4,1234 Street Lahore
1995-02-04,Male,Single,Islam,Pakistani,8851740530620,Mohammad Ali,Engineer,5,5678 Street Karachi
2004-08-28,Female,Married,Islam,Pakistani,1094097037115,Nadeem Khan,Doctor,6,9012 Street Islamabad
1996-03-21,Male,Other,Islam,Pakistani,3981748775665,Obaid Ahmed,Teacher,7,1234 Street Lahore
1996-11-24,Female,Single,Islam,Pakistani,1205122036207,Rizwan Ali,Accountant,8,5678 Street Karachi
1998-08-04,Male,Married,Islam,Pakistani,3682076457807,Saad Ahmed,Professor,1,9012 Street Islamabad
